name,ring,quadrant,isNew,description
Data Mesh,Assess,Platforms,TRUE,
Permit.io,Trial,Tools,TRUE,Permission system
Data Mesh,Trial,Techniques,TRUE,"Data Mesh is a relatively new architectural paradigm for designing data platforms and data intensive applications. It proposes a decentralized and domain-oriented approach to data architecture, where data ownership and governance are distributed across the organizations various domains."
.NET Full Framework,Hold,Languages & Frameworks,FALSE,.Net Framework is a development framwork best suited for windows runtimes. The Full Framework is common in Legacy windows application. We should avoid building anything new using .Net Full Framwork
.NET Core,Adopt,Languages & Frameworks,FALSE,.Net Core is a framework that can be run on most operating systesm today and is a modern framework for supporting micro services architectures. C# is the most common language used. At SignifyHealth this is a benmark and standard language. We will continue to leverage .Net Core and C# in our future systems to reach out business vision.
SQL Server,Adopt,Platforms,FALSE,"MSSQL is a relational database tool that is heaviliy used in the industry. We have leverage this on applications that are data heavy and require support from 3rd parties to trouble shoot incidents, this acts as a safety blank of sorts."
OAuth | OIDC,Adopt,Languages & Frameworks,FALSE,OAuth and OpenID Connect are authentication and authorization mechanisms suitable for Token based Identification.
Okta,Adopt,Platforms,FALSE,Okta Identity Cloud is an integrated identity solutino that securely connects the right peopl eto the right technology and provides incredible flexisbility in managing access in our company. It provides single sign on and with it users will be alble to log in once with a single ID and access various services on multiple applicaiotn without having to enter authentication details again. With Okta's Authentication API we can also secure our APIs and backends to make sure only authorized users and applications can access them.
Confluence,Adopt,Platforms,FALSE,"Confluence is a web-based collaborative platform that is used by engineering teams for knowledge sharing, documentation, and project management. Here are Signify Health it is our centeral repository for project related information and knowledge dumps for our teams."
REST,Adopt,Techniques,FALSE,"Repersentational State Transfer (REST) is a set of principles and constraints that govern the design and interaction of web services, with the goal of making them scalable, efficient and easy to maintain. Here at Signify Health this is our standard and is used to provide scalable and efficient ways to integrate our different systems and applications. "
Continuous Delivery,Adopt,Techniques,FALSE,Continuous Delivery is a practice which is about extending the Continuous Integration practive with testing and other forms of production readiness activities. The result is a package that can be deployed at any given time into production.
Continuous Deployment,Adopt,Techniques,FALSE,Continuous Deployment takes the automation one step further than Continue Delivery and automatically deploys the package to production. This means full automation from code to production.
Continuous Integration,Adopt,Techniques,FALSE,Continuous Integration is a practive which involes build automation and frequent integration of code from team members.
Dependency Injection,Adopt,Techniques,FALSE,"Dependency Injection (DI) is a pattern that allows object to be created and managed dynamically at runtime, rather than being created statically at compile time. It is used to manage object dependencies and improve code maintainability and testability. This a bedrock pattern at Signify Health to create modular and flexible code that is easier to test and maintain."
DevOps,Adopt,Techniques,FALSE,"DevOps is about, culture, practices and people. DevOps is how we see teams working with applications going forward. -- TODO -- find if there is any documentation on how we implement DevOps"
Domain-Driven Design,Adopt,Techniques,FALSE,"Domain-driven design (DDD) is an approach to software development that focuses on understanding and modeling the domain of a problem space, as well as the business needs and requirements of the stakeholders involved. It encourages collaboration between developers, domain experts, and other stakeholders to create a shared understanding of the domain and develop a flexible, scalable software architecture that supports changing business needs. DDD emphasizes the use of well-defined domain models, ubiquitous language, and bounded contexts to help ensure that software systems are developed in a way that reflects the real-world problem space and its complexities."
Automated Testing,Adopt,Techniques,FALSE,"Automated testing is a software testing technique where tools and scripts are used to execute predefined test cases automatically. This approach helps save time, improve accuracy, and provide faster feedback on software quality. Automated testing can be used for different types of testing, such as unit testing, integration testing, functional testing, and regression testing. This technique is widely used in modern software development, especially in agile and DevOps environments, to ensure rapid iteration and continuous delivery."
Business Process Modeling Notation (BPMN),Adopt,Techniques,FALSE,"Business Process Model and Notation (BPMN) is a graphical modeling language used to describe business processes and workflows. It provides a standardized way for different stakeholders to communicate and visualize business processes. In software engineering, BPMN is used to model and design software systems, especially those involving complex business processes. BPMN uses a set of graphical symbols and notation to represent different aspects of a business process, such as tasks, events, gateways, and flows. By using BPMN, software engineers can capture and document the business logic and workflows of the system, making it easier to understand, maintain, and update."
"UML (Sequence diagrams, Activity Diagrams)",Adopt,Techniques,FALSE,"Unified Modeling Language (UML) is a standardized visual modeling language used in software engineering to design, document, and communicate software systems. UML provides a set of graphical notations and symbols that can be used to represent different aspects of a software system, such as its structure, behavior, and interactions. UML is used at different stages of the software development lifecycle to create models and diagrams that can help developers and stakeholders understand and analyze software systems. Some of the most commonly used diagrams in UML include class diagrams, use case diagrams, sequence diagrams, and state diagrams. By using UML, software engineers can create models that can help them build higher quality and more maintainable software systems."
Microservices,Adopt,Techniques,FALSE,"Microservices is an architectural approach to software development that involves building an application as a suite of small, independent services, each with a specific business function. Each microservice is self-contained and can be deployed and managed independently of other services. Communication between services typically occurs over APIs or message queues. Microservices offer benefits such as increased flexibility, scalability, and resilience, as well as the ability to support continuous delivery and rapid iteration. However, they also require careful design and management, as well as additional overhead compared to a monolithic architecture."
Microfront Ends,Trial,Techniques,TRUE,"Micro frontends is an architectural approach for building web applications that involves breaking the user interface into smaller, loosely coupled components. Each component is developed and deployed independently, using different technologies and frameworks as needed, and can be integrated into the application as a whole. Micro frontends enable teams to work on different parts of the application without affecting other teams, and allow for more flexibility and faster iteration."
Events,Adopt,Techniques,FALSE,"Events refer to occurrences or changes within a system that trigger an action or a series of actions. Events can be external, such as user input, or internal, such as system errors or changes in data. Event-driven architecture (EDA) is an architectural pattern that uses events as the primary means of communication between different components of a system. In event-driven systems, components are designed to react to events by triggering specific actions, which can be handled by other components in the system."
Graylog,Hold,Tools,FALSE,"Graylog is an open-source log management and analysis tool that allows organizations to collect, index, and analyze log data from various sources in real-time. It provides a centralized platform for managing logs and other data, with powerful search and filtering capabilities. We have implemented other logging system and tools here at Signify Health."
New Relic,Adopt,Tools,FALSE,"New Relic is a cloud-based software analytics and monitoring platform that helps organizations improve the performance and reliability of their applications and infrastructure. It provides real-time visibility into the performance of applications and infrastructure across the entire software stack, from the front-end to the back-end, and from the infrastructure to the application code. "
Bitbucket,Hold,Tools,FALSE,"Bitbucket is a web-based version control system that allows developers to host, manage, and collaborate on code repositories. It is primarily used for Git repositories. We have replaced BitBucket with other version control systems."
Flyway,Adopt,Tools,FALSE,"Flyway is an open-source database migration tool that helps developers manage and automate changes to database schemas and data. It provides a simple and flexible approach to database migrations, allowing developers to version their database changes and apply them in a repeatable and controlled way. "
TeamCity (Build),Hold,Tools,FALSE,TeamCity is a continuous integration and continuous deployment (CI/CD) server that helps developers automate and streamline their software development workflows. We have replaced this with other CI/CD tools allowing for everything to be in one space.
Octopus Deploy,Hold,Tools,FALSE,"Octopus Deploy is a deployment automation tool that helps development teams automate the deployment process of their applications to various environments, including on-premises servers, cloud servers, and containers. This has been replaced with other tooling here at Signify Health."
ProGet (Nuget Package Manager),Adopt,Tools,FALSE,"ProGet is a package management system that helps development teams manage their software packages and dependencies. It provides a centralized repository for storing and sharing software packages, with support for various package types, such as NuGet, npm, Docker, and more. "
Nunit,Hold,Tools,FALSE,"NUnit is a free and open-source framework for writing and running unit tests in .NET applications. It provides a simple and flexible approach to unit testing, with support for various assertions, test runners, and integration with various third-party tools and frameworks. NUnit is often used by development teams to improve code quality, increase test coverage, and reduce the risk of errors and bugs in their software applications."
Xunit,Adopt,Tools,FALSE,"xUnit is another popular unit testing framework for .NET applications, with a similar philosophy to NUnit. It provides a lightweight and extensible platform for writing and running unit tests, with support for various assertions, test runners, and integration with various third-party tools and frameworks. xUnit is often used by development teams to improve software quality, increase test coverage, and reduce the cost and complexity of testing their software applications."
PlantUML,Adopt,Tools,TRUE,"PlantUML is an open-source tool used to create UML diagrams, such as use case diagrams, class diagrams, sequence diagrams, and activity diagrams, among others. It provides a simple and intuitive syntax for defining UML diagrams, which can be written in a text editor or integrated into a development environment."
LucidChart,Adopt,Tools,TRUE,Lucidchart is a cloud-based diagramming and visualization software that allows users to create and collaborate on a wide range of diagrams and flowcharts.
NHibernate Profiler,Hold,Tools,FALSE,"NHibernate Profiler is a tool used to profile and optimize the performance of NHibernate-based applications. NHibernate is an open-source Object-Relational Mapping (ORM) framework for .NET applications, which allows developers to map between objects in code and tables in a relational database. NHibernate Profiler provides insights into the behavior of NHibernate-based applications, such as identifying slow database queries, identifying inefficient data access patterns, and monitoring session management. It also provides real-time alerts and notifications for performance issues and helps developers optimize database access and reduce application overhead. "
Visual Studio,Adopt,Tools,FALSE,Visual Studio is an integrated development environment (IDE) created by Microsoft that is widely used by developers and software engineers to build applications for various platforms
Rider,Adopt,Tools,FALSE,JetBrains Rider is a cross-platform integrated development environment (IDE) designed for .NET developers and software engineers. 
XCode,Adopt,Tools,FALSE,Xcode is an integrated development environment (IDE) created by Apple that is primarily used for developing applications for Apple's operating systems. Here at Signify Health it is used to develop apps on the iOS.
VS Code,Adopt,Tools,FALSE,"Visual Studio Code (VSCode) is a free, open-source, cross-platform code editor developed by Microsoft. It is designed to provide developers and software engineers with a lightweight and versatile tool for editing, debugging, and managing code, that provides the ability to easily extend its features with a rich set of extensions and plugins."
Resharper,Adopt,Tools,FALSE,JetBrains Resharper is an extension for Microsoft Visual Studio that provides a set of advanced tools and features for improving developer productivity and code quality. 
SonarQube,Adopt,Tools,FALSE,"SonarQube is an open-source platform designed for continuous code quality inspection and management that provides our engineers with a comprehensive set of tools for analyzing and monitoring code quality, identifying potential issues, and suggesting improvements. It uses a range of static analysis techniques to detect code smells, vulnerablilities, and bugs."
Slack,Adopt,Tools,FALSE,"Slack is a cloud-based messaging and collaboration platform designed to help teams communicate and collaborate more effectively, with real time messageing, file sharing, voice and video calls. This is the main communication tools used here at Signify Health."
System Catalog,Adopt,Platforms,FALSE,A system catalog is a document that provides a comprehensive overview of the software systems and components within an organization. The catalog is used as a reference guide to faciliate communication and collaboration for the organization.
Backstage,Adopt,Platforms,FALSE,"<p>In an increasingly digital world, improving developer effectiveness in large organizations is often a core concern of senior leaders. We've seen enough value with developer portals in general and <strong><a href=""https://backstage.io/"">Backstage</a></strong> in particular that we're happy to recommend it in Adopt. Backstage is an open-source developer portal platform created by Spotify that improves discovery of software assets across the organization. It uses Markdown <a href=""https://backstage.io/docs/features/techdocs/techdocs-overview"">TechDocs</a> that live alongside the code for each service, which nicely balances the needs of centralized discovery with the need for distributed ownership of assets. Backstage supports software templates to accelerate new development and a plugin architecture that allows for extensibility and adaptability into an organization's infrastructure ecosystem. <a href=""https://backstage.io/docs/features/software-catalog/software-catalog-overview"">Backstage Service Catalog</a> uses YAML files to track ownership and metadata for all the software in an organization's ecosystem; it even lets you track third-party SaaS software, which usually requires tracking ownership.</p>"
Postman,Adopt,Tools,FALSE,"Postman is a platform for API development that allows fo design, build, test and document APIs, providing a user-friendly interface that allow for collaboration withthe use of workspaces."
C#,Adopt,Languages & Frameworks,FALSE,"C# is a modern, object-oriented programming language developed by Microsoft as part of the .NET framework. It is designed to be simple, type-safe, and efficient, and here at Signify Health is our main development language for all of our web applications and services. TODO: handbook link to C# tech choice"
Powershell,Adopt,Languages & Frameworks,FALSE,PowerShell is a command-line shell and scripting language developed by Microsoft designed for automating and managing system tasks and administrative tasks in Windows operating systems and is built on top of the .NET framework.
Javascript,Adopt,Languages & Frameworks,FALSE,Javascript is a language often used in frontend web development but is also used for backend development with Node.JS
TypeScript,Adopt,Languages & Frameworks,FALSE,"TypeScript is a programming language that is a superset of JavaScript and it allows for static typing, class and interface definitions and better tooling support to JavaScript. Here at Signify Health it is used with our Angular web applications."
Angular,Adopt,Languages & Frameworks,FALSE,"Angular is a front-end web applicaiton platform developed by Google. It leverages TypeScript to allow our engineers to build complex, single-page web applications with a modular, component-based approach with a wide range of features to help with development."
Nhibernate,Hold,Languages & Frameworks,FALSE,"NHibernate is a mature, open-source ORM framework that has been around for over a decade providing a flexible and customizable way to map database tables to .NET classes and enables developers to write complex queries using HQL (Hibernate Query Language) or LINQ."
Log4Net,Hold,Languages & Frameworks,FALSE,Log4Net is a logging framework that allows  for logging events and messages during application runtime for debugging and analysis purposes. While this framework has been around a long time Signify Health has prioritized the structured logging and flexibility of other tools.
Microsoft DependencyInjection,Adopt,Languages & Frameworks,FALSE,"Microsoft DI is a DI container that is built into ASP.NET Core that provides a simple and lightweight way to implement DI in .NET applications and supports constructor injection, property injection, and method injection."
Elasticsearch,Adopt,Languages & Frameworks,FALSE,"Elasticsearch is an open-source, distributed search and analytics engine designed for handling large volumes of data. It is built on top of the Apache Lucene search engine library and provides a RESTful API for interacting with the indexed data. Elasticsearch allows for real-time search and analytics capabilities such as aggregations, suggestions, and geospatial searches. It is commonly used in applications where fast and flexible search capabilities are needed, such as e-commerce, log analysis, and data visualization."
NServiceBus,Adopt,Languages & Frameworks,FALSE,"NServiceBus is an open-source messaging framework for building distributed systems that communicate via messaging. It provides a simple API for building loosely-coupled, scalable, and reliable systems. It also includes features like automatic retries, message routing, and support for distributed transactions. NServiceBus supports multiple messaging transports like MSMQ, RabbitMQ, Azure Service Bus, and more."
Kotlin,Hold,Languages & Frameworks,TRUE,"<p><a href=\""https://kotlinlang.org/\"">Kotlin</a> is a new language that is used heavily in Android development, but is starting to gain popularity in building other applications such as microservices. It promises more concise code than java. Given it's newness on the market and our focus on .Net development right now Kotlin is not a good fit for Signify Health.</p>"
FHIR,Assess,Platforms,FALSE,Fast Healthcare Interoperability Resources is a standardized data exchange format used in the healthcare to exchange electronic health records (EHRs) between healthcare systems. FHIR is built on modern web RESTful web standards and JSON. This framework a uniform way to organzie and share healthcare data and is mainteained by HL7.
Couchbase,Adopt,Languages & Frameworks,FALSE,"Couchbase is a NoSQL document-oriented database, designed to be scalable, performant, and flexible, that stores data in a JSON format. Couchbase provides high availability, automatic sharding, and cross data-center replication, making it ideal for applications that require high levels of availability and scalability and supports ACID transactions."
Gatling,Adopt,Languages & Frameworks,FALSE,Gatling is an open-source load testing tool that is used to measure the performance of web applications and simulates user behavior by sending HTTP requests to the server and collecting response times and other metrics.
TFS,Hold,Tools,FALSE,TFS (Team Foundation Server) is a software application developed by Microsoft to manage the entire software development life cycle. Here at Signify Health we no longer support this source control as it has been replaced with other tools.
Microsoft Message Queing (MSMQ),Hold,Tools,FALSE,MSMQ is a message queue implementation develop by microsoft and deployed in its Windows Service operating system. This protocol allows applicaiont running on communicate with queues for temporary storage. This is leverages imbedded windows features (like MSDTC) and does not yield itself to cloud enabled microservices. At this time Signify Health is leveraging other messaging protocols.
Redis,Assess,Tools,FALSE,"Redis is an open source key-value store, with high adoption within the industry. The functionality provided by this tool is also handled by Couchbase"
Kubernetes,Adopt,Platforms,FALSE,Kubernetes was born out of Google's Borg project. It is a container orchestration platform which is used to run and dynamically scale container based application at large scale.
Site Reliablity Engineering (SRE),Adopt,Techniques,FALSE,"Site Reliability Engineering, SRE, is a term coined by Google and is closely related to DevOps. It focuses on treating infrastructure and runtime as software, applying software engineering practicies on it."
Logging Standards,Adopt,Techniques,TRUE,"<p>Our loggin standards are important for Signifyhealth as a whole, to be able to improve analytics and operational insight across products, capability areas and units</p>"
Architecture Decision Records (ADR),Adopt,Techniques,TRUE,"<p>Architecture Decision Records is a method to document all decisions of importantance within a team, capability area or company. This will enable us to trace decisions and understand why they where done.<br>An ADR is a document that captures an important architecture decision made along with its context and consequences. <a href=""https://github.com/joelparkerhenderson/architecture-decision-record"">ADR examples</a><p>"
KrakenD,Assess,Platforms,TRUE,"KrakenD is an API gateway that will front the public internet facing Signify APIs. The platform provides OWASP security layer for APIs. Additionally, many useful gateway features such as OAuth2 client credentials grant, API composition, Response caching,"
Ansible,Adopt,Tools,TRUE,Anisble is a tool that is used to describe infrastrcutre and applications and it's configuration as code. It covers both the configuration and provisoning aspects of infrastracture and applications. Read more
Terraform,Adopt,Platforms,FALSE,"Terraform is a tool that is used to describe infrastructure as code. Terraform templates are used to pargrammatically describe infrastructure and it comes with tools to validate, deploy, and rollback infrastructure. It covers the provisiong aspects of infrastructure."
Crossplane,Assess,Platforms,TRUE,"Crossplane.io is an open source Kubernetes add-on that enables platform teams to assemble the infrastructure from multiple vendors, and expose higher level self-service APIs for application teams to consume, without having to write any code."
GitHub Copilot,Hold,Tools,TRUE,"GitHub Copilot is Github's ML system for generation code based on contextual information. It uses open source code uploaded to GitHub as input to the model. Currently not available for Enterprise Organisations, and due to unknown legal implications we should avoid it."
Akka,Adopt,Languages & Frameworks,FALSE,"Akka is a development framwork. We use a .net port akka.net. It helps you write Reactive system and takes away a lot of the plumming, provides built-in messaging. It builds for the strengths of the Actor model and is a framework mainly focused on concurrency."
Golang,Trial,Languages & Frameworks,TRUE,"Golang is a modern language inspired by C and other languages. It is suitable for backend microservice, servless, system and tooling development."
OpenAPI,Adopt,Platforms,FALSE,"OpenAPI, more commonly known as Swagger is a standard to develop APIs"
PostgreSQL,Adopt,Platforms,FALSE,PostgreSQL is an open source database with very good alignment to ISO standards. It also has good compatability with SQL Server
dbt - Data Build Tool,Adopt,Tools,TRUE,"dbt (data build tool) is a command line tool that enables data analysts and engineers to transform data in their warehouses more effectively. Today, dbt has ~850 companies using it in production, including companies like Casper, Seatgeek, and Wistia. Here at Signify Health this is how we ensure a true end to end lineage and have a single way of publishing dataset ensuring that we can have ""certifed"" data that ran through the dbt process."
gRPC,Hold,Platforms,TRUE,gRPC is a high performance protocol often used between micro services in synchronous API calls. It can be used on any infrastructure or cloud provider. We haven't identified any needs this protocol can solve specifically in our current environment to recommend usage. If and when that changes in the future we will re-evaluate and discuss how to move forward.
GitOps,Assess,Techniques,FALSE,"GitOps is related to DevOps but emphasizes the use of infrastructure as code, and uses a git repositiory as the only entrypoint to runtime."
Cloud lift and shift,Hold,Techniques,FALSE,Lift and Shift is about moving current application as-is to a cloud environment. The gains are often insignificant and the cost will be higher due to the pricing models in cloud.
Snowflake,Adopt,Platforms,FALSE,"Snowflake is a cloud-based data warehousing platform that allows organizations to store, process, and analyze large amounts of structured and semi-structured data. It provides a fully-managed service that can scale up and down to meet the changing demands of data processing workloads."
Confluent,Adopt,Tools,FALSE,Enterprise grade self hosted Kafka - data streaming
Alteryx,Adopt,Tools,FALSE,Data quality tools
qlik replicate,Adopt,Tools,FALSE,Real time data replication
Azure Data Factory - ADF,Adopt,Tools,FALSE,Data integration/transformation
Power BI,Adopt,Tools,FALSE,Reporting/Data visualization
Python,Trial,Languages & Frameworks,FALSE,Programming language
Linkerd,Adopt,Platforms,FALSE,"Linkerd is an open-source, cloud-native service mesh platform that helps improve the reliability, performance, and security of microservices-based applications. It acts as a transparent infrastructure layer, providing advanced networking and observability capabilities to enhance communication between services."